Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,,Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,Data management and digital reporting,,,"HIV, TB and Malaria",,Yes,Extremely,Neither high nor low quality,1,4,9,8,5,2,3,6,10,7,Somewhat clear,"Yes, frequently",Fair,Strongly agree,Monthly,CHEWs/CHAs,Facility - in - charges,,,,,Adequate,Sometimes,Lack of medicines. Use of own money to help community members.,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,Welfare group,Somewhat effective,2,1,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,0 - 2,Married,Yes,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,,,,,,,"Maternal, Neonatal and child health (MNCH)",,No,Not at all,High quality,1,2,4,5,6,3,7,8,9,10,Very clear,Never,Fair,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Never,"Lack of CHP kit, lack of drug supplies,umbrella and gumboots for rainy season",Word of mouth,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,,Phone,,,,,,None,No,,,3,1,4,5,2,,,Digital tools (eCHIS),,Notebooks,Partially,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,,,,Maternal and Newborn Health,,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,,,,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,High quality,1,4,3,6,7,5,8,2,9,10,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,#NAME?,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",Yes,Merry go round,Somewhat effective,3,1,4,2,5,,,Digital tools (eCHIS),,,Yes,Monthly,Fair,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)",,,,WASH,,,,WASH,,Yes,Considerably,Very high quality,1,5,4,2,7,3,6,8,10,9,Extremely clear,Never,Fair,Disagree,Weekly,CHEWs/CHAs,,,,,,Very adequate,Never,Swampy areas access is a challenge; lack of kits,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,None,No,,,1,2,3,5,4,,,Digital tools (eCHIS),,,Yes,Monthly,Fair,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,05-Jun,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,Data management and digital reporting,Community engagement,,Non communicable diseases (NCDs),,Yes,Extremely,Neither high nor low quality,1,10,3,7,2,6,8,4,9,5,Very clear,"Yes, frequently",Fair,Strongly agree,Weekly,CHEWs/CHAs,,,,,,Inadequate,Sometimes,Delayed and inadequate stipends. Long distances and no transport. Lack of medicines,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,,,,,Training opportunities,,None,No,,,5,1,3,2,4,MOH registers,Activity reporting forms,,,,Partially,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Tertiary (Undergraduate),On-the-job orientation only,,,,"Communication, Advocacy and Social Mobilization",,,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,,,,,,,"Maternal, Neonatal and child health (MNCH)",,No,Not at all,High quality,1,2,5,7,8,3,6,4,9,10,Very clear,Never,Fair,Agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Never,"Lack of CHP kit, fare to reach the households, gumboots and umbrellas for the rainy season",Word of mouth,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,None,No,,,3,1,2,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,40 - 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,,,,,,"HIV, TB and Malaria",,No,Extremely,High quality,1,4,5,8,7,2,9,3,10,6,Very clear,"Yes, occasionally",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,#NAME?,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",Yes,Associations of CHPs at the county and the Sacco,Very effective,4,1,2,3,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,WASH,,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,No,Considerably,High quality,1,4,3,6,7,5,8,2,9,10,Extremely clear,Never,Fair,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Never,Lack of kits; no transport; no medicine,List of names issued for appointment,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,None,No,,,3,2,1,5,4,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Primary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,"HIV, TB and Malaria",,Yes,Extremely,Neither high nor low quality,1,8,9,6,3,4,7,2,10,5,Not so clear,"Yes, frequently",Fair,Disagree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Inadequate,Sometimes,Lack of medicines. Community members refusing to register or go to the referrals. Lack of transport fare to travel.,List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,Provision of food stuffs,"Yes, majorly",Yes,Table banking,Very effective,4,3,5,2,1,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Yes,Monthly,Poor,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,,,Non communicable diseases (NCDs),,,,,Epilepsy ,Non communicable diseases (NCDs),,No,Considerably,High quality,4,1,6,7,9,5,2,8,3,10,Extremely clear,Rarely,Good,Strongly disagree,Monthly,CHEWs/CHAs,,,,,,Adequate,Rarely,Many households; one household takes 2-3 hours to assess; stipend is low; no national stipend; no kits; delayed stipend; SHA not reflecting ,List of names issued for appointment,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,,Phone,,,,Training opportunities,,None,Yes,Merry go round ,Extremely effective,2,1,3,5,4,,,Digital tools (eCHIS),,,Yes,Monthly,Fair,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,,,,,,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,,,,"MPOX, Community event based surveillance, Polio",Other (please specify),Community event based surveillance ,No,Extremely,High quality,1,3,4,8,5,6,9,2,10,7,Extremely clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,#NAME?,Word of mouth,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",Yes,Welfare group doing poultry keeping,Very effective,4,1,2,3,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,,,Never,"Maternal, Neonatal and child health (MNCH)",,,,,Data management and digital reporting,,,"Maternal, Neonatal and child health (MNCH)",,Yes,Extremely,High quality,1,2,5,6,10,4,7,3,8,9,Extremely clear,Never,Fair,Agree,Weekly,CHEWs/CHAs,,,,,,Very adequate,Never,"We did not receive the CHP kit, lack of medical supplies",List of names issued for appointment,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,None,No,,,4,1,2,5,3,,,Digital tools (eCHIS),,MoH 515,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,03-Apr,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,,,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,WASH,,Yes,Considerably,High quality,1,2,4,3,6,5,7,10,8,9,Very clear,Not sure what is outside my scheme of service,Good,Agree,Rarely,,,Community health focal persons,,,,Very adequate,Always,"We don't have gamboot, umbrella to use during rainy sessions. ",Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,2,1,3,4,5,MOH registers,,Digital tools (eCHIS),,,No,Monthly,Fair,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,05-Jun,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,,,,,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,Yes,Not at all,High quality,3,1,2,4,5,6,10,7,8,9,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,,,,Very adequate,Always,Means of transport,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,Fare/Transport support/means of transport,,Training opportunities,,None,No,,,1,2,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,Mental Health,WASH,Data management and digital reporting,,,Mental Health,,Yes,Extremely,Neither high nor low quality,1,2,5,3,6,4,8,7,9,10,Extremely clear,Not sure what is outside my scheme of service,Excellent,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Neutral,Rarely,Network,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,None,No,,,1,2,3,5,4,,,Digital tools (eCHIS),,,No,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Married,Yes,Primary,Other (please specify),Sanitation ,An introduction to the CHV training Course,Community Governance and Leadership,,,,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,,,,,,Data management and digital reporting,,,Data management and digital reporting,,Yes,Considerably,High quality,2,1,3,4,5,6,7,8,9,10,Very clear,"Yes, frequently",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,Long distance from one household to another ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, majorly",Yes,Vsla savings ,Very effective,1,2,3,4,5,,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,Above 10 years,Married,Yes,Tertiary (Diploma),Standardized government curriculum,,,,,Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,,,Integrated Community Case Management,,,,,Usually,,,,,,,Community engagement,,Non communicable diseases (NCDs),,Yes,Extremely,Very high quality,1,2,3,4,5,7,6,8,9,10,Extremely clear,"Yes, occasionally",Good,Strongly agree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,,,,Very adequate,Always,Encroaching ,Formal contract from private facilities,"Yes, i receive but not regularly",,,"Yes, from partners",,Adequate,,,,,,Recognition events,,,"Yes, Partially",No,,,1,2,3,4,5,MOH registers,,,,,Partially,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,"Maternal, Neonatal and child health (MNCH)",,Yes,Extremely,High quality,1,2,3,4,5,6,7,8,9,10,Very clear,Rarely,Fair,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Adequate,Rarely,Need tools and commodities,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,From county government ,Somewhat effective,2,3,1,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Partially,Irregularly,Fair,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,03-Apr,Married,Yes,Secondary,NGO-led training,,,,,,,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,Yes,Moderately,High quality,1,2,3,4,5,6,7,8,9,10,Extremely clear,"Yes, frequently",Good,Agree,Rarely,CHEWs/CHAs,,,,,,Adequate,Always,A times when referring the client they sometimes ignore going to the facility,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,,,,,,Training opportunities,,Minimal,Yes,Merygoroud groups,Somewhat effective,2,1,3,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,07-Aug,Married,Yes,Secondary,Standardized government curriculum,,,,,Best Practices for Health Promotion and Disease Prevention,,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,,Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)",,Non communicable diseases (NCDs),,WASH,,,,WASH,,Yes,Slightly,High quality,2,3,5,9,8,7,1,4,10,6,Not at all clear,"Yes, occasionally",Good,Agree,Monthly,,Facility - in - charges,,,,,Adequate,Always,Distance within the village,Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,Table banking,Very effective,1,2,5,4,3,,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,03-Apr,Married,Yes,Secondary,NGO-led training,,,,,Best Practices for Health Promotion and Disease Prevention,,,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,,,,Mental Health,,,,,Mental Health,,Yes,Considerably,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,07-Aug,Single,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,,,WASH,,Yes,Considerably,High quality,2,1,3,4,5,6,7,8,9,10,Very clear,"Yes, occasionally",Excellent,Strongly agree,Quarterly,CHEWs/CHAs,,,,,,Adequate,Sometimes,Ignorance from community members ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",Yes,Table banking ,Not so effective,1,3,2,4,5,,,Digital tools (eCHIS),,,Partially,Monthly,Good,Rarely,,,,,,,,,,,,,,,,,,,,,
